Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
210190,2021,1/24/2022,New London,16 GARDNER AVE,"120,540.00","245,000.00",0.492,Residential,Single Family,,,,POINT (-72.09154185 41.325651525)
2100819,2021,1/24/2022,Stamford,237 STRAWBERRY HILL AVE #41,"244,900.00","480,000.00",0.5102,Residential,Condo,,,,POINT (-73.53246899 41.068506013)
210032,2021,1/24/2022,Sterling,89 SNAKE MEADOW HILL RD,"236,960.00","400,000.00",0.5924,Residential,Two Family,,TWO FAMILY BUILT 1974 ON 2.6 ACRES,,POINT (-71.841840042 41.732696989)
210161,2021,1/24/2022,Simsbury,67 BLUE RIDGE DRIVE,"253,300.00","430,000.00",0.589,Residential,Single Family,,,,POINT (-72.842275003 41.821547007)
21132,2021,1/24/2022,Plainfield,3 CENTER ST,"90,570.00","225,000.00",0.4025,Residential,Two Family,,,,POINT (-71.916359017 41.679255986)
210087,2021,1/24/2022,Tolland,31 CIDER MILL RD,"188,100.00","376,500.00",0.499601594,Residential,Single Family,07 - Change in Property,COMPLETE REHAB,,POINT (-72.367184038 41.866624002)
210306,2021,1/24/2022,Norwich,119 MCKINLEY AVE,"91,300.00","175,000.00",0.5217,Residential,Single Family,,,,POINT (-72.076408021 41.533846018)
210270,2021,1/24/2022,Wallingford,7 PLYMOUTH CT,"156,200.00","301,500.00",0.518,Residential,Single Family,,,,POINT (-72.833129006 41.471610009)
210800,2021,1/24/2022,Waterbury,59 MOHAWK ST,"120,850.00","318,877.00",0.378986255,Residential,Three Family,25 - Other,BULK SALE,,POINT (-73.02175502 41.535486985)
210189,2021,1/24/2022,New London,12 SHARAF ST,"245,000.00","455,000.00",0.538461538,Apartments,,,,,POINT (-72.102806993 41.332245991)
210612,2021,1/24/2022,Sprague,33 CHURCH ST,"173,730.00","408,600.00",0.4251,Residential,Single Family,,,,POINT (-72.050165037 41.600274989)
210569,2021,1/24/2022,Southington,80 DOGWOOD DR,"157,270.00","295,000.00",0.5331,Residential,Single Family,,,,POINT (-72.860787023 41.606794014)
210345,2021,1/24/2022,Torrington,33 HILL ST,"83,280.00","165,000.00",0.5047,Residential,Two Family,,,,POINT (-73.11452299 41.801001999)
210426,2021,1/24/2022,New Haven,253 CONCORD ST,"111,965.00","144,000.00",0.7775,Residential,Single Family,,,,POINT (-72.893201016 41.264826991)
210590,2021,1/24/2022,Norwalk,98 GEORGE AVE,"243,440.00","445,000.00",0.547,Residential,Single Family,,5-5-237-0,,POINT (-73.400110022 41.116347989)
210076,2021,1/24/2022,Portland,15 COURNEY LN,"333,690.00","550,000.00",0.6067,Residential,Single Family,,015-0038-4,,POINT (-72.585506967 41.566151004)
21163,2021,1/24/2022,Ridgefield,120 PEACEABLE ST,"544,690.00","1,075,000.00",0.5066,Residential,Single Family,07 - Change in Property,,,POINT (-73.512575968 41.27451601)
210214,2021,1/24/2022,South Windsor,694 RYE ST,"155,400.00","325,000.00",0.4781,Residential,Single Family,,,,POINT (-72.571247673 41.868546434)
210797,2021,1/24/2022,Waterbury,126 REDCOAT RD,"105,250.00","165,000.00",0.6378,Residential,Single Family,,,,POINT (-73.030922978 41.606493984)
2100403,2021,1/24/2022,Stratford,40 NOBLE STREET,"157,080.00","400,000.00",0.3927,Residential,Single Family,07 - Change in Property,UC - 60% COMPLETE.,,POINT (-73.143199996 41.194929001)
213360,2021,1/24/2022,North Haven,40 LEXINGTON GARDENS,"238,930.00","435,000.00",0.5492,Residential,Condo,,,,POINT (-72.843751979 41.356811003)
210042,2021,1/24/2022,New Hartford,641 LITCHFIELD TPKE,"263,690.00","179,000.00",1.4731,Residential,Single Family,01 - Family,,,POINT (-72.986719 41.828407008)
210429,2021,1/24/2022,New Haven,WHEELER ST,"423,325.00","3,858,660.00",0.1097,Industrial,,,,,POINT (-72.89852493 41.295740066)
210162,2021,1/24/2022,Simsbury,22 GORDON STREET,"189,380.00","429,900.00",0.4405,Residential,Single Family,,,,POINT (-72.792969967 41.912464002)
210123,2021,1/24/2022,Seymour,13 BIRCHWOOD RD,"193,340.00","355,000.00",0.5446,Residential,Single Family,,,,POINT (-73.04666503 41.403593003)
2100821,2021,1/24/2022,Stamford,1515 SUMMER STREET #307,"290,820.00","441,000.00",0.6594,Residential,Condo,,,,POINT (-73.542154028 41.063164017)
21225,2021,1/24/2022,Newtown,9 TODDS ROAD,"124,550.00","249,900.00",0.4983,Residential,Single Family,,,,POINT (-73.276653976 41.450852981)
210592,2021,1/24/2022,Norwalk,141 SCRIBNER AVE,"246,360.00","12,537.00",19.6506,Residential,Single Family,08 - Part Interest,5-68-111-0,,POINT (-73.440120031 41.104625981)
21170,2021,1/24/2022,Southbury,64 STRONGTOWN ROAD,"117,470.00","113,600.00",1.034,Residential,Single Family,07 - Change in Property,,,POINT (-73.162238986 41.466634009)
210211,2021,1/24/2022,South Windsor,804 SANDSTONE DR,"145,500.00","291,000.00",0.5,Residential,Condo,,,,POINT (-72.551445678 41.831680602)
210192,2021,1/24/2022,New London,79 MOUNTAIN AVE,"138,600.00","80,000.00",1.7325,Commercial,,16 - Charitable Group,,,POINT (-72.104195036 41.354928008)
210196,2021,1/24/2022,Westport,237 BAYBERRY LANE,"1,415,000.00","2,695,000.00",0.525046382,Residential,Single Family,07 - Change in Property,Physical features and condition did not reflect assessor information at time of sale.,,POINT (-73.337033015 41.178848991)
210114,2021,1/24/2022,Windsor Locks,252 OLD COUNTY ROAD,"137,920.00","80,000.00",1.724,Residential,Single Family,25 - Other,,BELOW MARKET - MAY BE PARTIAL INTEREST,POINT (-72.65997104 41.915500011)
210124,2021,1/24/2022,Wolcott,25 EQUINOX AVE,"177,500.00","260,000.00",0.6826,Residential,Single Family,,appears arms length-avg market time no sales or financing concessions noted,,POINT (-72.949092972 41.56480399)
210117,2021,1/24/2022,Windsor Locks,30 BARBARA DRIVE,"99,820.00","165,000.00",0.6049,Residential,Single Family,,,,POINT (-72.645651983 41.933751983)
210309,2021,1/24/2022,West Haven,153 BULL HILL LA #103,"49,630.00","60,000.00",0.8271,Residential,Condo,,,,POINT (-72.983255011 41.271900982)
210197,2021,1/24/2022,Westport,15 NEWTOWN TURNPIKE,"697,700.00","1,295,000.00",0.5387,Residential,Single Family,,,,POINT (-73.387665997 41.158056004)
21075,2021,1/22/2022,Thompson,26 WALKER RD,"130,900.00","318,000.00",0.4116,Residential,Two Family,,,,POINT (-71.94590598 42.023459008)
210425,2021,1/22/2022,New Haven,91 HARBOUR CLOSE UNIT 91-C,"135,450.00","225,000.00",0.602,Residential,Condo,,,,POINT (-72.931196016 41.281145006)
210436,2021,1/22/2022,West Hartford,179 SOMERSET STREET,"110,530.00","170,000.00",0.650176471,Residential,Single Family,14 - Foreclosure,,,POINT (-72.735822989 41.72631702)
210707,2021,1/21/2022,Middletown,31 SILVER ST,"131,220.00","210,000.00",0.6248,Residential,Two Family,,,,POINT (-72.637782969 41.552514989)
2100227,2021,1/21/2022,Naugatuck,461 SPRING ST #E3,"51,070.00","130,000.00",0.3928,Residential,Condo,,,,POINT (-73.057540969 41.511073015)
210101,2021,1/21/2022,Mansfield,28 OLD WOOD RD,"99,300.00","151,995.00",0.6533,Residential,Single Family,,SUN ROLLING HILLS LLC MH PARK 55+,,POINT (-72.274376001 41.821160015)
210797,2021,1/21/2022,Bridgeport,208 GRIFFIN CIRCLE,"254,624.00","450,000.00",0.5658,Residential,Condo,,,,POINT (-73.204152022 41.216395014)
210449,2021,1/21/2022,New Britain,50 PENTLOW AVE,"123,130.00","190,000.00",0.648,Residential,Single Family,,,,POINT (-72.792976002 41.693772018)
210016,2021,1/21/2022,Bridgewater,136 CURTIS ROAD,"740,600.00","1,550,000.00",0.4778,Residential,Single Family,,,,POINT (-73.381177985 41.541675009)
210127,2021,1/21/2022,Cromwell,14 BOW LANE,"211,820.00","262,000.00",0.8084,Residential,Single Family,01 - Family,,,POINT (-72.670422016 41.618767018)
210397,2021,1/21/2022,Hamden,118 FOOTE ST,"138,180.00","280,000.00",0.4935,Residential,Single Family,,,,POINT (-72.896601974 41.350447001)
210025,2021,1/21/2022,Bethlehem,240 LAKES RD,"173,400.00","445,000.00",0.3896,Residential,Single Family,28 - Use Assessment,1.7 AC WAS FARM OF 3.95 AC,,POINT (-73.196335981 41.656867001)
210096,2021,1/21/2022,New Fairfield,55 RTE 39,"190,800.00","397,000.00",0.4806,Residential,Single Family,,,,POINT (-73.475158985 41.470383988)
210399,2021,1/21/2022,Hamden,1730 STATE ST U410,"30,310.00","55,000.00",0.551,Residential,Condo,,,,POINT (-72.898875984 41.329211994)
210446,2021,1/21/2022,New Britain,50 CHILDS ST,"87,990.00","195,000.00",0.4512,Residential,Single Family,,,,POINT (-72.756452026 41.673296998)
210396,2021,1/21/2022,Hamden,2480 WHITNEY AVE U5,"77,070.00","170,000.00",0.4533,Residential,Condo,,,,POINT (-72.902021964 41.387668979)
210100,2021,1/21/2022,East Windsor,9-02 NORTH RD,"11,080.00","37,318.00",0.2969,Residential,Single Family,07 - Change in Property,MOBILE HOME; RENOVATED,,POINT (-72.604517039 41.930393019)
210089,2021,1/21/2022,Derby,3-5 MASON ST,"188,020.00","235,000.00",0.8,Residential,Two Family,,,,POINT (-73.089379963 41.331299004)
210801,2021,1/21/2022,Bridgeport,275 MYRTLE AVE,"186,730.00","385,000.00",0.485,Residential,Three Family,,,,POINT (-73.190986986 41.166803986)
210796,2021,1/21/2022,Bridgeport,49 BUNNELL  ST #51,"105,020.00","201,000.00",0.5224,Residential,Two Family,10 - A Will,,,POINT (-73.16702698 41.17874099)
2100226,2021,1/21/2022,Naugatuck,34 KOSKO LA,"115,560.00","225,000.00",0.5136,Residential,Single Family,,,,POINT (-73.029428987 41.503235014)
210448,2021,1/21/2022,New Britain,5 ARCH ST,"264,390.00","710,000.00",0.3723,Commercial,,,,,POINT (-72.782156976 41.665419015)
210798,2021,1/21/2022,Bridgeport,1652 FAIRFIELD AVE #1654,"149,312.00","335,000.00",0.4457,Residential,Three Family,,,,POINT (-73.213540005 41.170439008)
210708,2021,1/21/2022,Middletown,132 TROLLEY CROSSING LA,"88,300.00","185,000.00",0.477297297,Residential,Condo,07 - Change in Property,,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #201065,POINT (-72.698651961 41.599429842)
210090,2021,1/21/2022,East Windsor,11B RIVERVIEW DR,"22,540.00","130,000.00",0.1733,Residential,Single Family,27 - CRUMBLING FOUNDATION ASSESSMENT REDUCTION,FOUND ISSUES IN COMPLEX,,POINT (-72.616825026 41.906642016)
210128,2021,1/21/2022,Cromwell,206 SKYVIEW DRIVE,"112,980.00","220,000.00",0.5135,Residential,Condo,,,,POINT (-72.681213968 41.608168018)
210085,2021,1/21/2022,Coventry,62 WINDY HILL RD,"78,400.00","551,678.00",0.142111884,Residential,Single Family,07 - Change in Property,NEW CONSTRUCTION,,POINT (-72.331106985 41.808678984)
210447,2021,1/21/2022,New Britain,26 TUNXIS ST,"134,890.00","330,000.00",0.4087,Residential,Single Family,,,,POINT (-72.780373978 41.68899098)
21138,2021,1/21/2022,Monroe,78 LAZY BROOK RD,"283,600.00","580,000.00",0.4889,Residential,Single Family,,,,POINT (-73.193366021 41.339579989)
210147,2021,1/21/2022,New Canaan,883 VALLEY RD,"1,465,590.00","2,399,000.00",0.6109,Residential,Single Family,,,,POINT (-73.48436902 41.184104989)
210457,2021,1/21/2022,Bristol,717 JEROME AVE,"68,470.00","75,000.00",0.912933333,Residential,Single Family,,,NO MLS,POINT (-72.929029964 41.709223009)
210705,2021,1/21/2022,Middletown,205 CARRIAGE CROSSING,"46,880.00","99,500.00",0.4711,Residential,Condo,,,,POINT (-72.70832088 41.58773588)
210799,2021,1/21/2022,Bridgeport,400 CARROL AVE,"33,760.00","450,000.00",0.075,Vacant Land,,07 - Change in Property,,,POINT (-73.163341662 41.178183814)
210091,2021,1/21/2022,East Windsor,23 MILLER RD,"43,470.00","130,000.00",0.3343,Vacant Land,,28 - Use Assessment,PA 490,,POINT (-72.735552806 41.902806495)
210038,2021,1/21/2022,East Granby,50-58 RAINBOW ROAD,"825,000.00","1,726,803.00",0.4777,Commercial,,,COMMERCIAL STRIP PLAZA,,POINT (-72.719544998 41.93810898)
210398,2021,1/21/2022,Hamden,694 CIRCULAR AVE,"130,060.00","240,000.00",0.5419,Residential,Single Family,,,,POINT (-72.93719201 41.364796987)
210097,2021,1/21/2022,New Fairfield,8 CARLEON RD,"128,600.00","168,000.00",0.7654,Residential,Single Family,,,,POINT (-73.533722001 41.461150987)
210802,2021,1/21/2022,Bridgeport,440 SUCCESS AVE BLDG 86 APT 15,"1,381,530.00","25,000.00",55.2612,Commercial,,08 - Part Interest,COOP (SUCCESS VILLAGE),,POINT (-73.156493822 41.198796851)
21051,2021,1/21/2022,Lebanon,149 HOXIE RD,"144,250.00","342,000.00",0.4217,Residential,Single Family,,,,POINT (-72.192812959 41.600883012)
21170,2021,1/21/2022,Guilford,720 NUT PLAINS RD,"298,550.00","550,000.00",0.5428,Residential,Single Family,,,,POINT (-72.683464006 41.318358016)
2100225,2021,1/21/2022,Naugatuck,79 RAMSEY AVE,"142,940.00","296,000.00",0.4829,Residential,Single Family,,,,POINT (-73.033985977 41.510316004)
210347,2021,1/21/2022,Fairfield,740 MILL HILL TERRACE,"636,860.00","1,200,000.00",0.5307,Residential,Single Family,,,,POINT (-73.284441015 41.146575017)
210128,2021,1/21/2022,Avon,723 LOVELY STREET,"203,510.00","330,000.00",0.6166,Residential,Single Family,,,,POINT (-72.891017028 41.766723996)
210096,2021,1/21/2022,Ellington,53 SANDY BEACH RD,"142,310.00","250,000.00",0.56924,Residential,Single Family,,,,POINT (-72.344805027 41.93592101)
210210,2021,1/21/2022,Branford,101 CEDAR KNOLLS,"113,200.00","193,000.00",0.5865,Residential,Condo,10 - A Will,"ESTATE SALE/NEEDS WORK/SOLD ""AS IS""",,POINT (-72.820534023 41.28701699)
210129,2021,1/21/2022,Cromwell,64 WOODLAND DRIVE,"56,630.00","121,000.00",0.468,Residential,Condo,,,,POINT (-72.677398023 41.61298602)
210456,2021,1/21/2022,Bristol,279 REDSTONE HILL RD UN 60B,"41,230.00","65,000.00",0.6343,Residential,Condo,,,,POINT (-72.903914011 41.658531018)
210706,2021,1/21/2022,Middletown,108 TROLLEY CROSSING LA,"45,820.00","84,900.00",0.5396,Residential,Condo,,,,POINT (-72.698637658 41.599353569)
210148,2021,1/21/2022,New Canaan,2061 PONUS RIDGE,"1,547,140.00","1,325,000.00",1.1676,Residential,Single Family,,,,POINT (-73.550039974 41.177619994)
210401,2021,1/21/2022,Hamden,1730 STATE ST U314,"30,310.00","55,000.00",0.551,Residential,Condo,,,,POINT (-72.898875984 41.329211994)
21169,2021,1/21/2022,Guilford,1028 MOOSE HILL RD,"201,190.00","520,000.00",0.3869,Residential,Single Family,,,,POINT (-72.724623006 41.290892992)
210394,2021,1/21/2022,Hamden,360 STERLING PL,"182,280.00","300,000.00",0.6076,Residential,Single Family,,,,POINT (-72.940311 41.390126008)
210139,2021,1/21/2022,Bloomfield,9 ALLEN ROAD,"85,890.00","195,000.00",0.4404,Residential,Single Family,,,,POINT (-72.687463012 41.811339986)
210800,2021,1/21/2022,Bridgeport,65 ST NICHOLAS DR,"229,760.00","445,000.00",0.5163,Residential,Single Family,,,,POINT (-73.238498966 41.223253003)
21192,2021,1/21/2022,Farmington,14 COBBLE COURT,"322,810.00","513,000.00",0.6292,Residential,Single Family,,,,POINT (-72.888951978 41.721068021)
21050,2021,1/21/2022,Lebanon,181 LEONARD BRIDGE RD,"179,100.00","399,900.00",0.4478,Residential,Single Family,,,,POINT (-72.297589012 41.643445018)
210450,2021,1/21/2022,New Britain,150 GREENWOOD ST,"127,400.00","310,000.00",0.4109,Residential,Three Family,,,,POINT (-72.782024961 41.653758991)
210395,2021,1/21/2022,Hamden,360 GOODRICH ST,"124,740.00","175,000.00",0.7128,Residential,Two Family,,,,POINT (-72.933070042 41.335429019)
21038,2021,1/21/2022,Durham,38 AUSTIN RD,"134,820.00","200,000.00",0.6741,Residential,Single Family,,,,POINT (-72.675324004 41.492077988)
210400,2021,1/21/2022,Hamden,1730 STATE ST U102,"17,920.00","55,000.00",0.3258,Residential,Condo,,,,POINT (-72.898875984 41.329211994)
210209,2021,1/21/2022,Branford,25 STANNARD AVE,"560,300.00","910,000.00",0.6157,Residential,Single Family,,,,POINT (-72.821621994 41.265451988)
210071,2021,1/21/2022,Essex,28 WOODLAND DR,"168,300.00","268,000.00",0.627985075,Residential,Single Family,,,,POINT (-72.416021029 41.343067992)
210140,2021,1/21/2022,Bloomfield,10 PURITAN DRIVE,"134,960.00","152,000.00",0.8878,Residential,Single Family,26 - Rehabilitation Deferred,,,POINT (-72.747166973 41.828380018)
21168,2021,1/21/2022,Guilford,152 DUNK ROCK RD,"234,170.00","385,000.00",0.6082,Residential,Single Family,,,,POINT (-72.699418037 41.287829993)
210208,2021,1/21/2022,Branford,48 HILLTOP DR,"181,600.00","385,000.00",0.4716,Residential,Single Family,07 - Change in Property,TOTAL REMODEL/FLIP HOUSE  C/O ISSUED 11/24/21,,POINT (-72.816856966 41.318080994)
210445,2021,1/21/2022,New Britain,123-11A BRITTANY FARMS,"94,780.00","180,000.00",0.5265,Residential,Condo,,,,POINT (-72.769515258 41.711123502)
210098,2021,1/21/2022,Rocky Hill,17 CLEMENS COURT,"111,160.00","215,000.00",0.517,Residential,Condo,,,,POINT (-72.686793968 41.638702998)
2100810,2021,1/21/2022,Stamford,297 GUINEA ROAD,"637,740.00","1,080,000.00",0.5905,Residential,Single Family,,,,POINT (-73.596661041 41.097901012)
2100400,2021,1/21/2022,Stratford,295 JOHNSON AVENUE,"136,150.00","318,000.00",0.4281,Residential,Single Family,,,,POINT (-73.139986039 41.201437004)
210192,2021,1/21/2022,Newington,45 FOX RUN CT,"122,060.00","232,000.00",0.5261,Residential,Condo,,,,POINT (-72.723906018 41.673276001)
210791,2021,1/21/2022,Waterbury,2344 NORTH MAIN ST,"56,210.00","160,000.00",0.3513,Residential,Single Family,,,,POINT (-73.02832903 41.582392995)
210106,2021,1/21/2022,Suffield,50 H 40 51,"6,650.00","5,000.00",1.33,Vacant Land,,12 - Non Buildable Lot,UNBUILDABLE LOT SOLD TO ABUTTER,,POINT (-72.65914 41.98373)
210587,2021,1/21/2022,Norwalk,48 LOCKWOOD LN,"277,790.00","510,000.00",0.5446,Residential,Single Family,,5-5-118-0,,POINT (-73.402362994 41.115448988)
210784,2021,1/21/2022,Waterbury,119 TAFT POINTE #20-4,"91,060.00","180,000.00",0.5058,Residential,Condo,,,,POINT (-73.070284982 41.523369016)
2100807,2021,1/21/2022,Stamford,199 WARDWELL STREET #3,"210,910.00","402,000.00",0.5246,Residential,Condo,,,,POINT (-73.520348004 41.047797013)
210344,2021,1/21/2022,Torrington,118 BRADFORD RD,"101,750.00","245,000.00",0.4153,Residential,Single Family,,,,POINT (-73.079521001 41.802535007)
21158,2021,1/21/2022,Ridgefield,56 BRIAR RIDGE RD,"452,640.00","699,000.00",0.6475,Residential,Single Family,,,,POINT (-73.503894998 41.367490008)
210208,2021,1/21/2022,South Windsor,44 SAGINAW ST,"172,200.00","265,000.00",0.6498,Residential,Single Family,,,,POINT (-72.534448771 41.844520924)
210561,2021,1/21/2022,Southington,500-09 MILL ST,"194,020.00","350,000.00",0.554342857,Residential,Condo,,,,POINT (-72.895726987 41.602855987)
210301,2021,1/21/2022,Norwich,28 BALTIC ST,"90,600.00","165,000.00",0.549,Residential,Single Family,,,,POINT (-72.069367977 41.532173996)
210343,2021,1/21/2022,Torrington,204 LINDBERG ST,"106,160.00","253,500.00",0.4187,Residential,Single Family,,,,POINT (-73.097444024 41.819979004)
210565,2021,1/21/2022,Southington,18 PARKVIEW DR,"124,880.00","261,000.00",0.478467433,Residential,Single Family,,,,POINT (-72.870881014 41.568277996)
210792,2021,1/21/2022,Waterbury,12 PUTNAM ST,"48,090.00","145,000.00",0.3316,Residential,Three Family,,,,POINT (-73.029428987 41.558641992)
213357,2021,1/21/2022,North Haven,262 STATE ST,"2,118,580.00","3,675,000.00",0.5764,Commercial,,,,,POINT (-72.88427496 41.376899994)
2100812,2021,1/21/2022,Stamford,1 BROAD STREET #PH33F,"736,030.00","1,075,000.00",0.6846,Residential,Condo,,,,POINT (-73.542049003 41.055134992)
210099,2021,1/21/2022,Rocky Hill,28 CHESTNUT COURT,"101,170.00","216,000.00",0.4683,Residential,Condo,,,,POINT (-72.665355994 41.653051014)
210787,2021,1/21/2022,Waterbury,126 CEDAR AVE,"73,790.00","186,000.00",0.3967,Residential,Single Family,,,,POINT (-72.996910975 41.549168011)
2100804,2021,1/21/2022,Stamford,7 ROCKRIDGE LANE,"418,610.00","600,000.00",0.6976,Residential,Single Family,,,,POINT (-73.570643027 41.104747979)
210302,2021,1/21/2022,Norwich,17 FORESTVIEW DR,"96,500.00","210,000.00",0.4595,Residential,Condo,,,,POINT (-72.111730032 41.572682979)
210788,2021,1/21/2022,Waterbury,358 CIRCULAR AVE,"145,030.00","325,000.00",0.4462,Residential,Single Family,,,,POINT (-73.00120603 41.550436989)
210584,2021,1/21/2022,Norwalk,19 ROCKMERE RD,"242,750.00","410,000.00",0.592,Residential,Single Family,,5-1-118-0,,POINT (-73.40201196 41.112835007)
213359,2021,1/21/2022,North Haven,24 WARNER RD,"243,310.00","299,000.00",0.8137,Residential,Single Family,,,,POINT (-72.823033004 41.371533983)
210562,2021,1/21/2022,Southington,73 BIRCHCREST DR,"144,190.00","235,000.00",0.613574468,Residential,Single Family,,,,POINT (-72.87615298 41.582919001)
2100808,2021,1/21/2022,Stamford,358 ROCKY RAPIDS ROAD,"445,860.00","810,000.00",0.5504,Residential,Single Family,,,,POINT (-73.59574096 41.125167008)
210785,2021,1/21/2022,Waterbury,80 SEYMOUR ST,"79,620.00","186,000.00",0.428,Residential,Single Family,,,,POINT (-73.050673005 41.540962002)
210340,2021,1/21/2022,Torrington,246 HIGH ST,"78,860.00","156,000.00",0.5055,Residential,Single Family,,,,POINT (-73.128695028 41.79960901)
2100806,2021,1/21/2022,Stamford,20 DALY STREET #2F,"111,470.00","209,000.00",0.5333,Residential,Condo,,,,POINT (-73.528149963 41.054409999)
210566,2021,1/21/2022,Southington,60 BEECHWOOD DR,"213,510.00","390,996.00",0.546066967,Residential,Single Family,,,,POINT (-72.859846993 41.573531982)
2100813,2021,1/21/2022,Stamford,75 ORANGE STREET,"241,590.00","450,000.00",0.5368,Residential,Single Family,,,,POINT (-73.518014985 41.054377016)
21160,2021,1/21/2022,Ridgefield,30 ROCKWELL RD,"533,890.00","790,000.00",0.6758,Residential,Single Family,,,,POINT (-73.493606967 41.271125991)
210299,2021,1/21/2022,Norwich,38 NORTH CLIFF ST,"60,400.00","70,000.00",0.8628,Residential,Single Family,,,,POINT (-72.068556022 41.527929987)
21093,2021,1/21/2022,Old Saybrook,175 FERRY RD,"271,300.00","525,000.00",0.5167,Residential,Condo,,,,POINT (-72.352939999 41.316685994)
2100397,2021,1/21/2022,Stratford,27 MIRANDA LANE,"105,910.00","205,000.00",0.5166,Residential,Condo,,,,POINT (-73.140504962 41.188779995)
21088,2021,1/21/2022,Oxford,21 PERRY LANE,"315,700.00","534,500.00",0.5906,Residential,Single Family,,,,POINT (-73.149126001 41.452722019)
21134,2021,1/21/2022,Plainville,TOWN LINE RD,"16,660.00","3,037.00",5.4856,Vacant Land,,08 - Part Interest,TWO PIECES IN ONE DEED,,POINT (-72.874468689 41.650509663)
2100401,2021,1/21/2022,Stratford,925 LONGBROOK AVENUE #108,"68,460.00","95,000.00",0.7206,Residential,Condo,,,,POINT (-73.129748969 41.200538003)
210585,2021,1/21/2022,Norwalk,199 GREGORY BLVD UNIT A4,"338,529.00","650,000.00",0.5208,Residential,Condo,,3-74-1-A/04,,POINT (-73.399039988 41.088686996)
210786,2021,1/21/2022,Waterbury,394 HOMESTEAD AVE,"69,620.00","81,218.00",0.8571,Residential,Single Family,11 - Court Order,,,POINT (-72.99880101 41.547482997)
210341,2021,1/21/2022,Torrington,81G HUNTER COURT,"59,080.00","149,900.00",0.3941,Residential,Condo,,,,POINT (-73.118947965 41.825872991)
210160,2021,1/21/2022,Simsbury,34 OLD STONE CROSSING,"573,500.00","975,000.00",0.5882,Residential,Single Family,,,,POINT (-72.871882987 41.831532997)
210789,2021,1/21/2022,Waterbury,84 CONNECTICUT AVE,"46,210.00","43,000.00",1.0746,Residential,Single Family,,,,POINT (-73.021451008 41.571286009)
210108,2021,1/21/2022,Suffield,37 WINDBROOK DR,"455,980.00","729,000.00",0.6254,Residential,Single Family,,"OVER ASK PRICE OF $709,709",,POINT (-72.630319974 42.020450994)
